"REF_DATE","GEO","DGUID","Statistics (6B)","Age (15A)","Gender (3)","Highest certificate, diploma or degree (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","New Brunswick","2021A000213","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","16.1.1.1.1","100.0","","","","1"
"2021","New Brunswick","2021A000213","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","16.1.1.1.2","18.9","","","","1"
"2021","New Brunswick","2021A000213","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","16.1.1.1.3","29.8","","","","1"
"2021","New Brunswick","2021A000213","(%) distribution","Total - Age","Total - Gender","Non-apprenticeship trades certificate or diploma","","0","units","0","","16.1.1.1.7","4.0","","","","1"
"2021","New Brunswick","2021A000213","(%) distribution","Total - Age","Total - Gender","Apprenticeship certificate","","0","units","0","","16.1.1.1.8","3.8","","","","1"
"2021","New Brunswick","2021A000213","(%) distribution","Total - Age","Total - Gender","College, CEGEP or other non-university certificate or diploma","","0","units","0","","16.1.1.1.9","22.6","","","","1"
"2021","New Brunswick","2021A000213","(%) distribution","Total - Age","Total - Gender","University certificate or diploma below bachelor level","","0","units","0","","16.1.1.1.10","1.9","","","","1"
"2021","New Brunswick","2021A000213","(%) distribution","Total - Age","Total - Gender","Bachelor’s degree or higher","","0","units","0","","16.1.1.1.11","19.0","","","","1"
"2021","Quebec","2021A000224","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","26.1.1.1.1","100.0","","","","1"
"2021","Quebec","2021A000224","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","26.1.1.1.2","18.2","","","","1"
"2021","Quebec","2021A000224","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","26.1.1.1.3","21.4","","","","1"
"2021","Quebec","2021A000224","(%) distribution","Total - Age","Total - Gender","Non-apprenticeship trades certificate or diploma","","0","units","0","","26.1.1.1.7","11.5","","","","1"
"2021","Quebec","2021A000224","(%) distribution","Total - Age","Total - Gender","Apprenticeship certificate","","0","units","0","","26.1.1.1.8","4.4","","","","1"
