"REF_DATE","GEO","DGUID","Age group","Reasons not looking for work","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - illness","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031580","1.1.3.5","49.2","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - illness","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031580","1.1.3.5","42.7","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - illness","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031581","1.1.3.6","60.6","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - illness","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031581","1.1.3.6","55.0","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - personal and/or family responsibilities","Number of persons","Number","223","units","0","v1586031582","1.1.4.1","","F","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - personal and/or family responsibilities","Number of persons","Number","223","units","0","v1586031582","1.1.4.1","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - personal and/or family responsibilities","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031583","1.1.4.2","","F","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - personal and/or family responsibilities","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031583","1.1.4.2","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - personal and/or family responsibilities","High 95% confidence interval, number of persons","Number","223","units","0","v1586031584","1.1.4.3","","F","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - personal and/or family responsibilities","High 95% confidence interval, number of persons","Number","223","units","0","v1586031584","1.1.4.3","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - personal and/or family responsibilities","Percentage of persons","Percent","239","units","0","v1586031585","1.1.4.4","8.7","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - personal and/or family responsibilities","Percentage of persons","Percent","239","units","0","v1586031585","1.1.4.4","9.9","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - personal and/or family responsibilities","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031586","1.1.4.5","5.7","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - personal and/or family responsibilities","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031586","1.1.4.5","6.7","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - personal and/or family responsibilities","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031587","1.1.4.6","13.2","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - personal and/or family responsibilities","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031587","1.1.4.6","14.3","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - school","Number of persons","Number","223","units","0","v1586031588","1.1.5.1","16500","E","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - school","Number of persons","Number","223","units","0","v1586031588","1.1.5.1","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - school","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031589","1.1.5.2","11610","","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - school","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031589","1.1.5.2","","F","","","0"
